# LinguaRust dictionary: front (EN)  back (RU)  example
# Разделитель — табуляция. Строки, начинающиеся с #, игнорируются.
# --- Повседневная жизнь ---
to wake up	просыпаться	I usually wake up at seven o'clock.
to get dressed	одеваться	She gets dressed quickly in the morning.
breakfast	завтрак	Breakfast is the most important meal of the day.
to commute	добираться до работы	He commutes to the office by train.
household	домашнее хозяйство	They share all household chores.
laundry	стирка, бельё	I do the laundry on Sundays.
to do the dishes	мыть посуду	After dinner we do the dishes together.
grocery	продуктовый	She buys groceries every Saturday.
to tidy up	прибираться	Please tidy up your room before guests arrive.
neighbourhood	район, окрестности	It is a quiet neighbourhood with a park.
to run errands	бегать по делам	I need to run some errands after work.
spare time	свободное время	In my spare time I read books.
to take a nap	вздремнуть	A short nap helps me feel fresh.
to oversleep	проспать	Do not oversleep on the day of the exam!
alarm clock	будильник	The alarm clock rings at six.
to switch off	выключать	Please switch off your phone during the lesson.
kettle	чайник	The water in the kettle is boiling.
to boil	кипятить	I boil eggs for breakfast.
to fry	жарить	She fries onions for the soup.
oven	духовка, печь	The cake is baking in the oven.
to peel	чистить (овощи)	Peel the potatoes before boiling them.
to chop	нарезать	Chop the vegetables into small pieces.
recipe	рецепт	This recipe requires fresh tomatoes.
ingredient	ингредиент	Mix all the ingredients in a bowl.
taste	вкус	The soup has a rich taste.
delicious	вкусный	The pie is absolutely delicious.
to water	поливать	I water the flowers every evening.
garbage	мусор	Take the garbage out, please.
to vacuum	пылесосить	He vacuums the carpet twice a week.
mirror	зеркало	She looked into the mirror and smiled.
# --- Работа и бизнес ---
to hire	нанимать	The company plans to hire ten new engineers.
to fire	увольнять	The manager had to fire two employees.
employee	сотрудник	Every employee gets a health insurance.
employer	работодатель	The employer provides training courses.
salary	зарплата (оклад)	His salary increased this year.
wages	зарплата (почасовая)	The workers receive wages every Friday.
to promote	повышать (в должности)	They promoted her to project lead.
resignation	увольнение (по своей воле)	He handed in his resignation yesterday.
deadline	срок сдачи	We have a tight deadline this week.
workload	рабочая нагрузка	Her workload is heavy at the end of the quarter.
to negotiate	вести переговоры	They negotiated a new contract.
meeting	совещание	The meeting starts at ten sharp.
agenda	повестка дня	The first item on the agenda is the budget.
colleague	коллега	My colleagues are friendly and helpful.
to attend	посещать	She attends a conference every autumn.
workshop	семинар, практикум	The workshop on public speaking was useful.
project	проект	This project will take three months.
to manage	управлять	He manages a team of twelve people.
customer	клиент, покупатель	The customer asked for a refund.
supplier	поставщик	We changed our supplier last month.
stock	запас, склад	The shop has a large stock of books.
to deliver	доставлять	They deliver the goods within two days.
invoice	счёт (на оплату)	Please send us an invoice for the services.
to launch	запускать	The startup launched its app in May.
funding	финансирование	The project needs extra funding.
budget	бюджет	We planned the budget for next year.
investment	инвестиция	Education is a smart investment.
to expand	расширять	The firm wants to expand into Asia.
branch	филиал	The bank opened a new branch downtown.
to retire	выходить на пенсию	My uncle retired at sixty.
# --- Путешествия ---
journey	путешествие, поездка	The journey took twelve hours.
to book	бронировать	I booked a ticket for Friday.
ticket	билет	The ticket costs twenty euros.
platform	платформа, перрон	The train leaves from platform three.
delay	задержка	The flight had a two-hour delay.
to board	садиться (на борт)	Passengers board the plane at gate five.
luggage	багаж	My luggage is too heavy to carry.
suitcase	чемодан	I packed my suitcase the night before.
passport	паспорт	Do not forget your passport!
customs	таможня	We stood in line at customs.
abroad	за границей	She studies abroad in Spain.
sightseeing	осмотр достопримечательностей	We went sightseeing in the old town.
landmark	достопримечательность	The castle is the main landmark of the city.
guide	гид, путеводитель	The guide told us about local history.
to explore	исследовать	We explored the coast on bikes.
accommodation	жильё	The accommodation was cosy and cheap.
reservation	бронирование	I made a reservation for two nights.
hostel	хостел	The hostel is close to the station.
map	карта	Check the map before you turn.
tourist	турист	The streets are full of tourists in July.
souvenir	сувенир	She bought a small souvenir for her mum.
currency	валюта	What currency do they use in Japan?
exchange	обмен (валюты)	The exchange rate is better at the bank.
to get lost	заблудиться	We got lost in the narrow streets.
to check in	регистрироваться	We checked in at the hotel at noon.
# --- Технологии ---
device	устройство	This device is easy to use.
wireless	беспроводной	The wireless charger is fast.
to download	скачивать	Download the file and open it.
to upload	загружать	Upload your photo to the album.
password	пароль	Choose a strong password.
to log in	войти в систему	Log in with your email and password.
to sign up	зарегистрироваться	You can sign up for free.
browser	браузер	The browser updated last night.
website	веб-сайт	The website loads slowly on mobile.
search engine	поисковая система	This search engine respects privacy.
software	программное обеспечение	We need to update the software.
hardware	оборудование	The hardware is powerful enough.
crash	сбой	My computer crashed during the meeting.
to reboot	перезагрузить	Reboot the router to fix the connection.
update	обновление	Install the latest update now.
notification	уведомление	Turn off unnecessary notifications.
privacy	конфиденциальность	The app promises full privacy.
to hack	взламывать	Someone tried to hack the account.
virus	вирус	The antivirus removed the virus.
network	сеть	The office network is down.
server	сервер	The server stores all user data.
cloud	облако	I keep my photos in the cloud.
screen	экран	The screen is too bright at night.
keyboard	клавиатура	The keyboard is quiet and comfortable.
to type	печатать	She types very fast.
# --- Эмоции и чувства ---
joy	радость	The news filled her with joy.
to be proud of	гордиться чем-то	I am proud of your results.
to be grateful	быть благодарным	We are grateful for your help.
to worry	волноваться	Do not worry about small things.
anxiety	тревога	He felt anxiety before the interview.
excited	взволнованный, в предвкушении	The children are excited about the trip.
to disappoint	разочаровывать	I did not want to disappoint my parents.
embarrassed	смущённый	She was embarrassed by the mistake.
lonely	одинокий	He felt lonely in the new city.
to miss	скучать по	I miss my friends from university.
to admire	восхищаться	Everyone admires her courage.
confidence	уверенность	Practice builds confidence.
to envy	завидовать	They envy his success.
guilty	виноватый	He felt guilty about the accident.
to comfort	утешать	Friends comforted her after the loss.
mood	настроение	His mood changed quickly.
to cheer up	подбодрить, взбодриться	Music helps me cheer up.
anger	гнев	He tried to hide his anger.
to forgive	прощать	It took her years to forgive him.
surprise	сюрприз, удивление	The party was a big surprise for me.
# --- Образование ---
